DISTRICT,YEAR,MONTH,FORTNIGHT,MEAN_TEMP,RAINFALL,HUMIDITY,WIND_SPEED
Ahmednagar,2021,11,2,23.951,10.67,77.946,2.21
Ahmednagar,2021,12,1,21.153333333333332,27.95,78.154,1.9513333333333334
Ahmednagar,2021,12,2,20.28375,1.57,64.50375,1.55375
Ahmednagar,2022,1,1,20.98166666666667,0.6799999999999999,68.81333333333333,1.8679999999999999
Ahmednagar,2022,1,2,20.104375,0.0,49.52625,1.8675
Ahmednagar,2022,2,1,22.309333333333335,0.0,36.946000000000005,1.7246666666666668
Ahmednagar,2022,2,2,25.46,0.0,31.366923076923076,1.5192307692307692
Ahmednagar,2022,3,1,27.702666666666666,1.98,26.338666666666665,1.966
Ahmednagar,2022,3,2,30.488750000000003,0.02,20.015,2.363125
Ahmednagar,2022,4,1,31.433,0.09000000000000001,21.331333333333337,1.7793333333333332
