CROP,DISTRICT,YEAR,MONTH,FORTNIGHT,MEAN_TEMP,RAINFALL,HUMIDITY,WIND_SPEED,TEMP_RISE,RAINFALL_DEV,HUMIDITY_DEV,WIND_EXCESS,TRIGGER,PERCENTAGE
Pomegranate,Amravati,2022,7,1,26.643,309.74,87.13533333333334,3.8866666666666654,0.0,189.74,7.135333333333335,0.0,YES,1.0
Pomegranate,Amravati,2022,7,2,25.8384375,238.97,89.3675,3.139375,0.1615624999999987,118.97,9.367500000000009,0.0,YES,1.0
Pomegranate,Amravati,2022,8,1,25.965333333333334,209.81,90.35666666666664,2.838,0.0346666666666664,79.81,5.356666666666641,0.0,YES,1.0
Pomegranate,Amravati,2022,8,2,25.803125,50.260000000000005,87.8025,2.82625,0.1968749999999985,19.739999999999995,2.802499999999995,0.0,NO,0.0
Pomegranate,Amravati,2022,9,1,26.468,193.01,87.95733333333332,1.8033333333333328,0.532,93.01,12.957333333333324,0.0,YES,1.0
Pomegranate,Amravati,2022,9,2,25.624333333333333,34.5,87.15466666666666,2.320666666666667,1.3756666666666677,15.5,12.154666666666657,0.0,NO,0.0
Pomegranate,Amravati,2022,10,1,25.408,73.78,86.76066666666665,2.084,0.0,0.0,16.76066666666665,0.0,YES,0.5
Pomegranate,Amravati,2022,10,2,22.695625,13.21,77.81375,1.45375,2.3043750000000003,16.79,7.813749999999999,0.0,YES,1.0
Pomegranate,Amravati,2022,11,1,21.66633333333333,0.0,74.94133333333333,1.2126666666666668,0.0,20.0,9.941333333333333,0.0,NO,0.0
Pomegranate,Amravati,2022,11,2,19.52133333333333,0.0,65.38133333333333,1.352666666666667,0.478666666666669,20.0,0.3813333333333304,0.0,NO,0.0
Pomegranate,Amravati,2023,6,1,35.33866666666666,11.74,33.23466666666666,4.088666666666667,1.3386666666666611,38.26,21.765333333333334,0.0,YES,1.0
Pomegranate,Amravati,2023,6,2,30.895666666666667,73.47,58.846,4.291333333333333,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2023,7,1,28.379666666666665,184.25,79.41266666666667,3.252666666666667,0.0,64.25,0.0,0.0,YES,1.0
Pomegranate,Amravati,2023,7,2,27.2425,237.21,87.05125,3.805,0.0,117.21,7.051249999999996,0.0,YES,1.0
Pomegranate,Amravati,2023,8,1,26.12233333333333,31.81,85.09333333333333,3.591333333333333,0.0,38.19,0.0933333333333337,0.0,YES,1.0
Pomegranate,Amravati,2023,8,2,26.244375,76.2,84.879375,2.9275,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Amravati,2023,9,1,26.546333333333333,116.72,86.18,2.8366666666666664,0.4536666666666669,16.72,11.180000000000009,0.0,NO,0.0
Pomegranate,Amravati,2023,9,2,26.407333333333334,129.66,85.29866666666666,1.788,0.5926666666666662,29.66,10.298666666666662,0.0,YES,1.0
Pomegranate,Amravati,2023,10,1,25.531666666666663,0.6699999999999999,77.09333333333333,1.6213333333333333,0.0,29.33,7.093333333333334,0.0,YES,1.0
Pomegranate,Amravati,2023,10,2,23.5184375,7.5,72.97875,1.410625,1.481562499999999,22.5,2.978750000000005,0.0,YES,1.0
Pomegranate,Amravati,2023,11,1,23.401,0.0,67.51666666666667,1.6086666666666667,0.0,20.0,2.5166666666666657,0.0,NO,0.0
Pomegranate,Amravati,2023,11,2,22.106,62.61,73.61133333333333,1.7693333333333332,0.0,2.6099999999999994,8.611333333333334,0.0,NO,0.0
Pomegranate,Aurangabad,2019,6,1,33.448,10.7,40.004,4.1033333333333335,0.0,39.3,14.996000000000002,0.0,YES,1.0
Pomegranate,Aurangabad,2019,6,2,29.752333333333333,90.81,62.672,4.002666666666666,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Aurangabad,2019,7,1,26.72,85.69,78.19266666666667,4.683333333333334,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Aurangabad,2019,7,2,26.809375,112.21,79.555,3.799375,0.0,0.0,0.0,0.0,NO,0.0
Pomegranate,Aurangabad,2019,8,1,25.62133333333333,93.6,84.60866666666668,4.723333333333333,0.3786666666666711,0.0,0.0,0.0,NO,0.0
Pomegranate,Aurangabad,2019,8,2,25.8053125,59.39,81.5275,2.946875,0.1946875000000005,10.61,0.0,0.0,NO,0.0
Pomegranate,Aurangabad,2019,9,1,25.41433333333333,88.65,86.6,3.1573333333333333,1.5856666666666683,0.0,11.599999999999994,0.0,NO,0.0
Pomegranate,Aurangabad,2019,9,2,25.53533333333333,129.18,86.08866666666667,1.9893333333333327,1.4646666666666697,29.180000000000007,11.088666666666668,0.0,YES,1.0
Pomegranate,Aurangabad,2019,10,1,24.56833333333333,18.55,81.69133333333333,1.5633333333333332,0.4316666666666684,11.45,11.691333333333333,0.0,NO,0.0
